Category,Priority,Alert Name,Pattern,Metric / Table,Threshold / Logic,Why add / what it detects early
Control plane,High ,API server high CPU,Metric,apiserver_cpu_usage_percentage,Average > 80% for 5 min ,"Detects control-plane saturation early, before kubectl/API calls slow down and reconciliation starts lagging"
Control plane,High ,etcd database usage high,Metric,etcd_database_usage_percentage ,Average > 80% for 5 min ,Detects state-store pressure before API responsiveness and cluster stability degrade.
Control plane,High ,Unschedulable pods detected,Metric,cluster_autoscaler_unschedulable_pods_count ,Average > 0 for 5–10 min; critical > 5 ,Detects capacity shortage or scheduling constraints before rollouts stall and pending pods become widespread.
Control plane,Medium ,API server inflight requests high,Metric,apiserver_current_inflight_requests ,Baseline-driven; start around > 1000 ,Detects rising API pressure and abusive or misbehaving clients/controllers before hard failures occur.
Control plane,High ,API server errors,Log search,AKSControlPlane,"Category == ""kube-apiserver"" and Level in (""Error"",""Fatal"") ",Detects direct control-plane degradation before users see broad deployment or kubectl failures
Control plane,High ,Scheduler errors,Log search,AKSControlPlane,"Category == ""kube-scheduler"" and Level in (""Error"",""Warning"") ",Detects scheduling failures early and helps explain why workloads are not being placed
Control plane,High ,Cluster autoscaler errors,Log search,AKSControlPlane,"Category == ""cluster-autoscaler"" and Level in (""Error"",""Warning"") ",Detects scale-up and scale-down failures before pending pods become an outage
Control plane,Medium ,API server warning spike,Log search,AKSControlPlane,"Category == ""kube-apiserver"" and Level == ""Warning"" with count threshold ",Detects early degraded-state behavior before error volume rises enough to trigger harder alerts
Control plane,Medium ,Controller manager errors,Log search,AKSControlPlane,"Category == ""kube-controller-manager"" and Level in (""Error"",""Fatal"") ","Detects reconciliation issues affecting nodes, endpoints, and workloads before symptoms spread across the cluster"
Control plane,Medium ,Guard authentication/authorization errors,Log search,AKSControlPlane,"Category == ""guard"" and Level in (""Error"",""Warning"") ","Detects identity, token, or access-control issues early in the managed control plane"
Control plane,Medium ,Azure CSI driver errors,Log search,AKSControlPlane,"CSI-related Category and Level in (""Error"",""Warning"") ","Detects attach, mount, and provisioning issues before PVC-backed applications fail broadly"
Control plane,High ,Namespace deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource == ""namespaces"" ",Detects a destructive administrative action that can remove all workloads in a namespace and cause immediate app outage
Control plane,High ,Critical workload deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource in (""deployments"",""statefulsets"") and objectRef_namespace =~ ""prod*"" ",Detects direct workload deletion before teams only notice that a production service disappeared
Control plane,High ,External traffic endpoint deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource in (""services"",""ingresses"") ",Detects silent traffic blackouts where pods may still be healthy but external routing disappears
Control plane,High ,Network policy deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource == ""networkpolicies"" ",Detects security exposure early by catching removal of traffic controls and segmentation policy
Control plane,Medium ,Cluster admin access deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource == ""clusterrolebindings"" ",Detects access-loss or privilege-governance impact before operational access problems slow recovery work
Control plane,Medium ,Node agent deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource == ""daemonsets"" ","Detects deletion of node-wide agents such as logging, monitoring, or security components before observability gaps appear"
Node,High ,High node CPU usage,Metric,node_cpu_usage_percentage ,Average > 80% for 5 min; critical > 90% ,"Detects compute exhaustion early, before pods remain pending, workloads throttle, or latency rises on the node pool."
Node,High ,High node memory usage,Metric,node_memory_working_set_percentage ,Average > 85% for 5 min; critical > 90% ,"Detects memory pressure before pod evictions, kubelet instability, and workload failures appear."
Node,High ,High node disk usage,Metric,node_disk_usage_percentage ,Average > 80% for 10 min; critical > 90% ,"Detects disk pressure before image pulls, writes, logs, and kubelet operations start failing."
Node,High ,Node not ready,Metric,kube_node_status_condition ,Count > 0 for unhealthy condition lasting 5 min ,Detects node outage or instability before multiple pods on that node become unavailable.
Namespace,Medium ,Namespace resource deleted,Log search,AKSAuditAdmin,"verb == ""delete"" with objectRef_namespace == ""<namespace>"" for selected resource types ",Detects impactful delete activity scoped to a namespace and helps isolate ownership and blast radius faster
Pod,High ,Pods pending or failed,Metric,kube_pod_status_phase ,"phase=Pending or phase=Failed, count > 0 for 5–10 min ","Detects scheduling issues, image issues, quota issues, and broken pods before users notice application impact."
Pod,High ,Pods not ready,Metric,kube_pod_status_ready ,"condition=false > 0, or ready ratio < 95% ","Detects readiness failures early, before deployments appear healthy but traffic still fails."
Pod,High ,High pod restarts,Log search,KubePodInventory,Filter ContainerRestartCount > threshold in the last 5–10 min ,Detects unstable workloads before they fully degrade into outages or sustained CrashLoop states
